No,Question,Answer
41,How do I register for the next semester?,Registration is done online through the student portal during the designated registration period. Fee payment must be completed for successful registration.
42,What is the refund policy for semester fees?,Refund policy depends on when you withdraw. Full refund if done before semester start partial refund after semester begins. Check the fee policy document.
43,Can I request a fee waiver or reduction?,Financial hardship cases can be considered. Apply through the financial aid office with supporting documents for evaluation.
44,What is the process for semester fee payment?,Fees can be paid online through the student portal using credit/debit card or bank transfer. Offline payment is also available at the accounts office.
45,Are there any hidden charges or additional fees?,All fees are disclosed in the prospectus. Only approved charges are collected. Any special fees for specific activities/events are communicated in advance.
46,How do I contact the university in case of emergency?,Emergency contact numbers are provided during orientation and on the university website. Campus security can also be reached 24/7.
47,What are the visiting hours for the campus?,Campus is generally open during business hours 9 AM to 5 PM. Visitors must register at the gate and follow security protocols.
48,Can parents visit student hostels?,Yes parents can visit during designated visiting hours typically on weekends. Advance permission is required for overnight visits of guests.
49,What is the dress code at GLS University?,Business formal attire is expected in classrooms and during official functions. Appropriate clothing that respects cultural values is mandatory.
50,How do I get my final transcript?,You can request official transcripts from the registrar's office online or offline. Processing usually takes 3-5 working days.
51,What is the process for academic appeal or grade reconsideration?,Students can file an academic appeal within the prescribed time frame through the student portal with proper justification and supporting documents.
52,Are internships compulsory for degree completion?,Internships are compulsory in most programs as part of the curriculum. They are typically done in the later semesters.
53,How do I find internship opportunities?,The training and placement cell regularly posts internship opportunities on the portal. Students can also apply directly to companies listed on the website.
54,Can I take a gap semester for personal reasons?,Students must submit a formal request with valid reasons. Approval is at the discretion of the academic committee based on circumstances.
55,What are the research opportunities available?,The university encourages research. Students can engage in faculty-guided research projects or participate in departmental research initiatives.
56,How do I access the university email account?,Your university email is created during admission. Access it using your registration number and initial password which can be changed.
57,What are the computer lab hours?,Computer labs are typically open during college hours with extended hours for project work. 24-hour access may be available for final year students.
58,Is there an alumni network?,Yes GLS University has an active alumni network. Alumni can connect through the alumni portal and participate in events and mentoring.
59,How can I participate in extracurricular activities and clubs?,The university has various clubs and organizations. Students can join by attending club meetings or contacting club coordinators listed on the portal.
60,What is the career counseling support available?,The placement cell provides career guidance resume workshops interview training and soft skills development programs throughout the academic year.
61,Are there any language options for instruction?,Primary medium of instruction is English. However some regional language subjects may be offered based on course requirements.
62,What is the policy on class scheduling and timetable changes?,Class schedules are finalized by departments. Timetable changes are rare and communicated in advance. Students must adhere to the published schedule.
63,How do I request academic accommodations for disabilities?,Students with disabilities can approach the student services office with medical documentation for appropriate accommodations and support.
64,What is the library fine policy?,Late return of books incurs a fine typically Rs. 5-10 per day. Lost books must be replaced or payment made equivalent to the book cost.
65,Can I access the university resources after graduation?,Alumni can access certain resources through the alumni portal. Some library privileges may be extended on request.
66,What are the IT policies for university-provided devices?,Devices are for academic use only. Malicious software is prohibited and breach of policies may result in disciplinary action.
67,How do I get involved in student governance?,Students can participate in student council elections or join committees. Elections are held annually and announcements are made at the beginning of the academic year.
68,What is the environmental sustainability policy of the university?,GLS promotes sustainable practices through waste management recycling programs and eco-friendly campus initiatives that students are encouraged to support.
69,How do I apply for a foreign exchange or study abroad program?,The international office handles study abroad applications. Information on partner universities and application procedures is available on the website.
70,What is the tuition payment plan option?,Various payment options are available including full payment semester payment and installment plans. Contact the accounts office for details and eligibility.
71,How do I know my exam schedule?,Exam schedule is published well in advance on the student portal and notice boards. Students receive individual schedules during their registration.
72,What should I do if I miss an exam due to genuine reasons?,You must notify the academic office immediately with supporting documents. Make-up exams may be arranged depending on the validity of reasons.
73,How is plagiarism detected and penalized?,Assignments are checked using plagiarism detection software. Severe penalties including zero marks or academic suspension may apply for plagiarism.
74,What support is available for mental health and counseling?,The university provides counseling services for mental health support. Students can approach the student services office or counselors confidentially.
75,Can I access my grades online immediately after exams?,Grades are uploaded on the portal once evaluated and approved by the department. This typically takes 2-3 weeks after the exam.
76,What is the process to appeal against a disciplinary action?,Students can file an appeal through the official grievance system within the specified time frame to the disciplinary committee.
77,How can I access archived course materials?,Course materials are available on the learning management system. Students can access previously uploaded materials for revision.
78,What is the policy on submission of assignments and projects?,Late submissions may incur penalties as per course syllabus. Extensions are granted only in genuine cases with proper documentation.
79,How do I connect with seniors or mentors for guidance?,The mentoring program connects students with senior mentors. Details are shared during orientation and through the student portal.
80,What is the credit transfer policy for students joining from other institutions?,Credit transfer is evaluated based on course equivalency. Decisions are made by the academic committee after document review.
81,Are there any restrictions on visiting the campus during off-hours?,Campus security monitors access. Only authorized personnel are allowed after official hours. Hostel residents can access their hostels anytime.
82,How do I apply for a dorm room change or upgrade?,Room change requests should be submitted to the hostel management office. Changes are made based on availability and priority.
83,What are the facilities available in the student center?,The student center provides spaces for meetings relaxation food courts computer access and recreational activities.
84,How do I get my student ID validated or replaced if lost?,Contact the admissions office for student ID replacement. A nominal replacement fee may be charged for lost IDs.
85,What is the policy on bringing vehicles to campus?,Students can bring two-wheelers with proper registration. Four-wheelers are restricted. Parking passes must be obtained from the security office.
86,How often are campus facilities audited for safety?,Regular safety audits are conducted. Fire drills and emergency procedures are practiced periodically to ensure student safety.
87,Can I use the university facilities during semester break?,Limited access is available during breaks. Hostel students have access while day scholars need special permission from the department.
88,What is the procedure for course withdrawal?,Course withdrawal must be done within the prescribed deadline through the student portal. Academic counseling is recommended before withdrawing.
89,How do I access the online learning platform?,Students receive login credentials during admission. The platform can be accessed through the university website or dedicated mobile app.
90,What technical support is available for online classes?,IT support desk is available to help with technical issues. Students can also reach out through email or chat for assistance.
91,Are there any scholarships for sports or cultural activities?,Yes. The university offers scholarships for talented sports persons and cultural artists. Details are available in the scholarship section.
92,How do I join the university sports team?,Trials for various sports are conducted at the beginning of the semester. Interested students can register with the sports department.
93,What are the facilities for differently-abled students?,The university is wheelchair accessible with ramps elevators adapted restrooms and designated parking. Special support is provided as needed.
94,How can I provide feedback about my courses or faculty?,Student feedback forms are collected via online portals at the end of each semester. Feedback is reviewed and improvements are implemented.
95,What is the policy on use of cameras and recording devices in classroom?,Recording of classes without permission is not allowed. Faculty may permit recording for personal study purposes upon request.
96,How do I access my financial aid information?,Financial aid details can be viewed through the student portal. Statements are provided each semester with the fee structure.
97,Are there entrepreneurship programs at the university?,Yes. The university has incubation centers and entrepreneurship clubs that support student startups and business ideas.
98,What internship stipend is offered?,Stipend depends on the company and position. The placement cell negotiates with companies for competitive stipends.
99,How do I apply for graduation and when should I start the process?,Graduation applications open in the final semester. Students should apply within the deadline and collect required documents for degree conferment.
100,Where can I find the complete list of university policies?,All policies are available on the official website in the "Policies" section. Students also receive copies in the student handbook.
